model,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
PointNet,0.9867045858514042,0.9210598197213876,0.7390924956369983,0.922389272653393,0.7622659397961603,0.9292904790782291,0.9453494904100794,0.9600169689256549,0.9337014758570819,0.9707827869852815
PointNet++,0.9702157516225225,0.7020002920134327,0.7863291139240506,0.8950475153849373,0.64,0.715730084629403,0.9051603312805266,0.9292570604227932,0.6809111929433931,0.9103023100349105
DGCNN,0.9809436748470572,0.8974918211559432,0.7255534064044702,0.9101988718244328,0.7283535797363658,0.9413714718696723,0.950141035318422,0.9688176699870074,0.9470775910272012,0.9752728164466424
