model,test_OA,test_mIoU,test_macro_F1,val_mIoU_best
PointNet,0.9488932291666666,0.8391664995068513,0.9070653314915671,0.8434360541189301
PointNet++,0.8624739583333333,0.7014988850643464,0.813495365225597,0.7002182726735712
DGCNN,0.9520052083333334,0.8338905611190736,0.9025221938617214,0.8394147600213037
