model,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
PointNet,0.9737580690429414,0.8536708860759493,0.586159169550173,0.8559577677224736,0.6158559938720797,0.867920253738106,0.8963628062699741,0.9231083010401795,0.8756473489519112,0.9432243988047242
PointNet++,0.9421543912243646,0.5408323959505061,0.6478931998331248,0.81003258316284,0.47058823529411764,0.5573050307130083,0.8267514935216076,0.867861954606695,0.5161981432188535,0.8353714231183456
DGCNN,0.9626000552028705,0.8140454995054401,0.5693086003372682,0.8351972192836633,0.5727642276422764,0.8892368256240494,0.9050177855142663,0.9395212095758085,0.8994751968011996,0.9517389917038928
