n_points,density_mean_nn,density_std_nn,density_cv,density_level,pca_ev,pca_ev1,pca_ev2,pca_ev3,pca_linearity,pca_planarity,pca_sphericity,shape_type,curvature_mean,curvature_std,curvature_max,curvature_p90,surface_type,normal_consistency_mean,normal_consistency_std,normal_quality,n_components,n_noise_pts,noise_ratio,topology,label,geo_class,method,file
361,5.119944847199174,2.092981460060322,0.408789844835239,low,"[0.8531165616560762, 0.13466965504105705, 0.01221378330286671]",0.8531165616560762,0.13466965504105705,0.01221378330286671,0.8421438969350459,0.14353943774920822,0.014316664143573252,linear,0.10007157988859686,0.056566746896302485,0.2827426451141642,0.1790421342671408,highly_curved,0.9104626442767305,0.10905677753253708,high,1,0,0.0,connected,0,tubular,ball_pivoting,valve_0001_lidar_classes.ply
143,5.161303637873216,1.5130178286486362,0.293146447973549,low,"[0.5919354913962143, 0.30880907144482717, 0.09925543715895851]",0.5919354913962143,0.30880907144482717,0.09925543715895851,0.478306206653132,0.35401430895379243,0.1676794827037023,complex,0.0707017912540117,0.03964618221008725,0.22979252880288617,0.12594387527903067,highly_curved,0.900890630025415,0.11822257307852432,high,1,0,0.0,connected,1,complex,poisson,valve_0001_lidar_classes.ply
76,4.457130470891662,1.2732732555326574,0.2856710754963079,low,"[0.46958370823065343, 0.4291496608408169, 0.10126663092852978]",0.46958370823065343,0.4291496608408169,0.10126663092852978,0.0861061544406683,0.698241918250267,0.21565192517951878,complex,0.050015034106023794,0.01926900947025164,0.10890675642934128,0.07493997620470008,slightly_curved,0.9650940701289837,0.01578962177350229,high,1,0,0.0,connected,2,complex,poisson,valve_0001_lidar_classes.ply
558,4.417962096691681,1.118086594616275,0.2530774528827349,low,"[0.9000532408395698, 0.05711201839002401, 0.04283474077040619]",0.9000532408395698,0.05711201839002401,0.04283474077040619,0.9365459544667648,0.01586270340012027,0.047591341022069536,linear,0.10179647455961498,0.05546589932263793,0.261917153947137,0.17409702163602542,highly_curved,0.9747245808296491,0.03480256082341321,high,1,0,0.0,connected,3,tubular,ball_pivoting,valve_0001_lidar_classes.ply
928,4.1600260870807935,1.1708956650942504,0.2814635390025732,low,"[0.4659826568812942, 0.3989777443356274, 0.13503959878307836]",0.4659826568812942,0.3989777443356274,0.13503959878307836,0.14379271720179734,0.5664119492184737,0.2897953314337263,complex,0.005520038135244201,0.007124109269523686,0.03889473406326917,0.016319453000077342,smooth,0.9940787073572482,0.004574344963933968,high,1,0,0.0,connected,5,complex,poisson,valve_0001_lidar_classes.ply
621,3.929813501811332,0.9812921302798769,0.24970450368137692,medium,"[0.4660997358052276, 0.4244846647201296, 0.10941559947464274]",0.4660997358052276,0.4244846647201296,0.10941559947464274,0.08928361850263826,0.6759691979340184,0.23474718141787967,complex,0.03309639128769714,0.033920485317606504,0.11223074912278713,0.08457391203990518,slightly_curved,0.993207193357015,0.003928177661392493,high,1,0,0.0,connected,6,complex,poisson,valve_0001_lidar_classes.ply
410,4.54213807769745,1.5274084682584774,0.3362752170441487,low,"[0.5721220426884063, 0.3233335769092833, 0.10454438040231032]",0.5721220426884063,0.3233335769092833,0.10454438040231032,0.43485208885714627,0.38241700161815784,0.18273090777681716,complex,0.020215863498941535,0.026320876541824304,0.1007599124846571,0.06851645318219764,slightly_curved,0.9917526385339496,0.0072511013547748165,high,1,0,0.0,connected,7,complex,poisson,valve_0001_lidar_classes.ply
649,4.674962981377498,1.6168968491921012,0.3458630272126374,low,"[0.4999614696717714, 0.37503277303244786, 0.12500575729578078]",0.4999614696717714,0.37503277303244786,0.12500575729578078,0.2498766484374557,0.5000925679347235,0.25003078162766673,complex,0.005806681155915725,0.005767832641831041,0.030416232681271457,0.012747319489934019,smooth,0.9928595746705339,0.006883783057589067,high,1,0,0.0,connected,8,complex,poisson,valve_0001_lidar_classes.ply
2963,4.297177156757966,1.3653050245975498,0.31772137253701027,low,"[0.4121217440634339, 0.3392300368932479, 0.24864821904331827]",0.4121217440634339,0.3392300368932479,0.24864821904331827,0.17686935485281538,0.21979383261125235,0.6033368101094647,spherical,0.005301293012845133,0.00896876189696216,0.05517473027363991,0.02099054652311799,smooth,0.9953949906307739,0.0038318671175793474,high,1,0,0.0,connected,9,spherical,ball_pivoting,valve_0001_lidar_classes.ply
799,3.4653757645187264,1.4238932341114883,0.4108914387523421,medium,"[0.8995558548884092, 0.09114867325655855, 0.009295471855032105]",0.8995558548884092,0.09114867325655855,0.009295471855032105,0.8986736914001419,0.09099290596100619,0.010333401527192346,linear,0.05094787762069046,0.07208824166692361,0.2816584627687438,0.15539600966546924,slightly_curved,0.9358918571382365,0.12702810075531398,high,1,0,0.0,connected,0,tubular,ball_pivoting,valve_0002_lidar_classes.ply
146,4.975323497108432,1.7088904697398661,0.3434732375471804,low,"[0.5610460050913703, 0.3370252164255022, 0.10192877848312755]",0.5610460050913703,0.3370252164255022,0.10192877848312755,0.3992912991691179,0.41903237058974374,0.18167632845875342,complex,0.06714206337738367,0.04004586857386973,0.1809544572886288,0.13031619133274802,highly_curved,0.9409439622564505,0.06622990904626758,high,1,0,0.0,connected,1,complex,poisson,valve_0002_lidar_classes.ply
457,4.2708783539112485,1.1899552098359973,0.2786207217697085,low,"[0.9109737182690292, 0.05123139166169934, 0.03779489006927142]",0.9109737182690292,0.05123139166169934,0.03779489006927142,0.9437619422184784,0.014749603976731022,0.04148845270706412,linear,0.0348612262530658,0.03261036212968642,0.13470666483786908,0.086551323627707,slightly_curved,0.987763973439868,0.023214239954561993,high,1,0,0.0,connected,3,tubular,ball_pivoting,valve_0002_lidar_classes.ply
955,4.165230039773668,1.450499174430422,0.34823987156325226,low,"[0.46913341536883074, 0.40943109886012397, 0.12143548577104527]",0.46913341536883074,0.40943109886012397,0.12143548577104527,0.12726084824827114,0.6138885081310382,0.2588506414891008,complex,0.0074092822147594556,0.01386699730334893,0.10764576190284858,0.020105162418548247,smooth,0.9907480070136089,0.0172950595781318,high,1,1,0.0010471204188481676,connected,5,complex,poisson,valve_0002_lidar_classes.ply
342,4.605093672853593,1.6884395354215547,0.3666460782346366,low,"[0.5646444170595651, 0.3328342432400474, 0.10252133970038745]",0.5646444170595651,0.3328342432400474,0.10252133970038745,0.41054186742188564,0.4078901626817533,0.181567968125335,complex,0.006571889138356641,0.007136221445898852,0.05446603273420438,0.013654393483893681,smooth,0.9918202927228762,0.012341597435390251,high,1,0,0.0,connected,6,complex,poisson,valve_0002_lidar_classes.ply
497,4.2956370092083525,1.2689017068971664,0.29539314050085913,low,"[0.5595441039946845, 0.3437167229736478, 0.09673917303166774]",0.5595441039946845,0.3437167229736478,0.09673917303166774,0.3857200515464049,0.4413906745462475,0.17288927212017852,complex,0.03169216153413704,0.0364758457870374,0.1131358017529171,0.09345419174086066,slightly_curved,0.9927830468247296,0.00462545026021086,high,1,0,0.0,connected,7,complex,poisson,valve_0002_lidar_classes.ply
