obj_file,rec_file,status,rmse_rec_to_ref,rmse_ref_to_rec,hausdorff,mean_dist,rec_faces,ref_faces,ref_verts
16.01.obj,valve_0001_lidar_classes_reconstructed.ply,ok,45.61608905002629,33.467038352706766,113.20019006745353,30.09117937556985,32077,25454,46303
16.01.obj,valve_0002_lidar_classes_reconstructed.ply,ok,40.84066806372225,29.052910466021984,122.07289721400578,25.771765707405457,35210,25454,46303
16.01.obj,valve_0003_lidar_classes_reconstructed.ply,ok,48.46829878494853,33.844035133656405,179.2648401325689,30.16997220534099,51700,25454,46303
16.01.obj,valve_0004_lidar_classes_reconstructed.ply,ok,45.09297006477655,30.020040727010258,147.57340446492378,28.053724480947295,52080,25454,46303
16.01.obj,valve_0005_lidar_classes_reconstructed.ply,ok,44.035868500054804,31.69705105342888,118.62831492149037,28.53472748106184,51819,25454,46303
16.01.obj,valve_0006_lidar_classes_reconstructed.ply,ok,42.38451031783845,29.54579954121851,133.38696534188796,26.19202532780819,35374,25454,46303
16.01.obj,valve_0007_lidar_classes_reconstructed.ply,ok,36.71453486679913,27.84686931423313,112.67701935522547,24.132974340173412,33440,25454,46303
16.01.obj,valve_0008_lidar_classes_reconstructed.ply,ok,42.89800271075059,30.62088991693028,151.68359478567135,27.17098129882848,37892,25454,46303
16.01.obj,valve_0009_lidar_classes_reconstructed.ply,ok,42.48259202987266,32.333255638210844,182.86636100223197,27.20007237674987,51918,25454,46303
16.01.obj,valve_0010_lidar_classes_reconstructed.ply,ok,44.26392684794344,29.84620671688319,147.12855488983024,27.542457367920917,40525,25454,46303
16.01.obj,valve_0011_lidar_classes_reconstructed.ply,ok,46.0199083299108,32.89949181105932,153.45506745572695,29.532251227264375,36496,25454,46303
16.01.obj,valve_0012_lidar_classes_reconstructed.ply,ok,45.30485663897732,34.19593016008268,100.53786309242473,30.850490798749973,35324,25454,46303
16.01.obj,valve_0013_lidar_classes_reconstructed.ply,ok,43.86559102409483,31.396047011633513,109.96136846837524,28.428413253486873,39271,25454,46303
16.01.obj,valve_0014_lidar_classes_reconstructed.ply,ok,44.731899731165605,32.995329802422354,131.73090773559824,29.045447669561128,43266,25454,46303
16.01.obj,valve_0015_lidar_classes_reconstructed.ply,ok,48.883870671634064,33.08678114688764,154.72988025099067,30.27673444413376,51403,25454,46303
16.01.obj,valve_0016_lidar_classes_reconstructed.ply,ok,36.55622969503824,26.89061876747302,107.22639397202902,23.400341163752607,45164,25454,46303
16.01.obj,valve_0017_lidar_classes_reconstructed.ply,ok,50.23367875544526,37.92212378983348,182.45599762774316,32.00484585322443,53831,25454,46303
16.01.obj,valve_0018_lidar_classes_reconstructed.ply,ok,44.36945032787116,32.944713655881536,113.70253451519433,29.236604962366528,30582,25454,46303
16.01.obj,valve_0019_lidar_classes_reconstructed.ply,ok,50.3786095586826,36.864809299667556,179.89727869981076,31.894476528184423,53469,25454,46303
16.01.obj,valve_0020_lidar_classes_reconstructed.ply,ok,38.3654799535453,29.29571390976911,122.04036196902797,25.28723323118619,43858,25454,46303
16.02.obj,valve_0001_lidar_classes_reconstructed.ply,ok,21.2381079284606,36.82869755254367,98.09270031481482,22.907935367278338,32077,6448,10122
16.02.obj,valve_0002_lidar_classes_reconstructed.ply,ok,23.677826784103654,35.34591667111967,110.68074152758805,21.95863541747447,35210,6448,10122
16.02.obj,valve_0003_lidar_classes_reconstructed.ply,ok,27.202759208246395,42.540501057139025,130.4295022066304,26.799158126233813,51700,6448,10122
16.02.obj,valve_0004_lidar_classes_reconstructed.ply,ok,26.89719635851294,40.75795952773025,123.14061273789302,25.956416142725857,52080,6448,10122
16.02.obj,valve_0005_lidar_classes_reconstructed.ply,ok,23.26293078173256,39.66630487620902,111.45924102558529,24.45304073457464,51819,6448,10122
16.02.obj,valve_0006_lidar_classes_reconstructed.ply,ok,25.106828487885807,36.39890869954698,117.78042523306162,22.63829334422525,35374,6448,10122
16.02.obj,valve_0007_lidar_classes_reconstructed.ply,ok,18.373307303637812,34.61624373614784,102.24821076242091,20.494100344941362,33440,6448,10122
16.02.obj,valve_0008_lidar_classes_reconstructed.ply,ok,27.148288731317734,38.07510949473682,129.81428408806303,23.752063742910472,37892,6448,10122
16.02.obj,valve_0009_lidar_classes_reconstructed.ply,ok,23.670965152386874,41.14920749588502,130.89840808329762,25.49289921898483,51918,6448,10122
16.02.obj,valve_0010_lidar_classes_reconstructed.ply,ok,23.83783942772979,35.11794234008764,120.67174316087927,22.271774550942673,40525,6448,10122
16.02.obj,valve_0011_lidar_classes_reconstructed.ply,ok,25.34679675671918,36.984589318517514,129.5535276561673,23.87095041038433,36496,6448,10122
16.02.obj,valve_0012_lidar_classes_reconstructed.ply,ok,25.089581238536347,37.03870521960216,102.0313782376604,23.58184136142637,35324,6448,10122
16.02.obj,valve_0013_lidar_classes_reconstructed.ply,ok,23.88768625457354,37.34270700570021,107.68752441252016,23.29126147703332,39271,6448,10122
16.02.obj,valve_0014_lidar_classes_reconstructed.ply,ok,25.151574151761213,39.76508046692032,116.05912513413617,24.85565288842845,43266,6448,10122
16.02.obj,valve_0015_lidar_classes_reconstructed.ply,ok,27.838656740610926,41.26377221632289,121.48755647519263,26.590812655259064,51403,6448,10122
16.02.obj,valve_0016_lidar_classes_reconstructed.ply,ok,20.57669321692599,36.390372127517324,102.84114513477292,21.829029174545674,45164,6448,10122
