obj_file,rec_file,status,rmse_rec_to_ref,rmse_ref_to_rec,hausdorff,mean_dist,rec_faces,ref_faces
16.01.obj,valve_0362_lidar_classes_reconstructed.ply,ok,0.1787601124924608,0.16016910072450674,0.6579627709146728,0.12667290644147347,52616,25454
16.01.obj,valve_0074_lidar_classes_reconstructed.ply,ok,0.200574502794355,0.13815614581374142,0.7213910643909763,0.12639889608134805,44293,25454
16.01.obj,valve_0375_lidar_classes_reconstructed.ply,ok,0.14471336668296325,0.1639771123310882,0.4274833961443296,0.11645557805307807,44637,25454
16.01.obj,valve_0156_lidar_classes_reconstructed.ply,ok,0.20618675078289153,0.17116383815854805,0.715724662133756,0.14183319264071104,43217,25454
16.01.obj,valve_0105_lidar_classes_reconstructed.ply,ok,0.1827672800589593,0.16252239369639898,0.6136247567839742,0.12835180943642865,52278,25454
16.01.obj,valve_0395_lidar_classes_reconstructed.ply,ok,0.1621557802388402,0.1677911683926278,0.5372352812618119,0.1248496521460433,45058,25454
16.01.obj,valve_0378_lidar_classes_reconstructed.ply,ok,0.1836282073261884,0.18469006737768662,0.7084458042825336,0.13407467099326917,42213,25454
16.01.obj,valve_0125_lidar_classes_reconstructed.ply,ok,0.19929004230959133,0.15017568003714699,0.485130985098295,0.13220044615528212,31974,25454
16.01.obj,valve_0069_lidar_classes_reconstructed.ply,ok,0.15747291080852455,0.1411066564155669,0.44228237289917754,0.11302419758571455,40462,25454
16.01.obj,valve_0451_lidar_classes_reconstructed.ply,ok,0.18134954160056263,0.15750195797053596,0.6568844874337337,0.12519379375954698,53257,25454
16.01.obj,valve_0010_lidar_classes_reconstructed.ply,ok,0.16717250933825684,0.16335888141625773,0.5505858166454516,0.12434849115958074,40525,25454
16.01.obj,valve_0195_lidar_classes_reconstructed.ply,ok,0.1930892394945104,0.15587572846379896,0.6982908191538842,0.12970495132166673,53931,25454
16.01.obj,valve_0407_lidar_classes_reconstructed.ply,ok,0.18689283184884045,0.1592755519902183,0.43096014011548134,0.13672270498729125,35924,25454
16.01.obj,valve_0085_lidar_classes_reconstructed.ply,ok,0.21715679843348107,0.14030143450949992,0.722674518477145,0.1351958661575493,47753,25454
16.01.obj,valve_0372_lidar_classes_reconstructed.ply,ok,0.1754463646508209,0.15811434882873104,0.6294261580174797,0.12396585809860036,42508,25454
16.01.obj,valve_0389_lidar_classes_reconstructed.ply,ok,0.19243254587500958,0.156715504379673,0.6460991085939515,0.13152462870721962,41731,25454
16.01.obj,valve_0496_lidar_classes_reconstructed.ply,ok,0.17976735847253303,0.14727036278221758,0.4670934972724864,0.12239070488601841,34573,25454
16.01.obj,valve_0031_lidar_classes_reconstructed.ply,ok,0.16802870097148906,0.1556451853045566,0.5965169802825404,0.12099813938141557,51930,25454
16.01.obj,valve_0317_lidar_classes_reconstructed.ply,ok,0.17264976708868024,0.1589235498377992,0.4439672098764603,0.12880908775084082,38093,25454
16.01.obj,valve_0409_lidar_classes_reconstructed.ply,ok,0.15499322073865754,0.16764743670687043,0.45750127673711477,0.12180761049694987,40753,25454
16.01.obj,valve_0491_lidar_classes_reconstructed.ply,ok,0.17446187966620988,0.17065560167302327,0.6019301773706114,0.13225443342936208,41868,25454
16.01.obj,valve_0492_lidar_classes_reconstructed.ply,ok,0.21281539164305444,0.1860357252069966,0.6330155786230699,0.15206350487820697,54069,25454
16.01.obj,valve_0281_lidar_classes_reconstructed.ply,ok,0.1549619535188001,0.16763837599813214,0.46944510323854677,0.1211187050971707,35527,25454
16.01.obj,valve_0357_lidar_classes_reconstructed.ply,ok,0.16115764406473349,0.16337275273038201,0.5797736574000084,0.12225840458378243,50788,25454
16.01.obj,valve_0077_lidar_classes_reconstructed.ply,ok,0.19597501317597316,0.17824863902838636,0.6604369713010727,0.14257349895138466,38922,25454
16.01.obj,valve_0462_lidar_classes_reconstructed.ply,ok,0.14468424689671655,0.1596466794793622,0.4460387567340205,0.11377129439927862,34420,25454
16.01.obj,valve_0498_lidar_classes_reconstructed.ply,ok,0.15909579142248761,0.1653688869956065,0.437989194390004,0.12317738488310787,39462,25454
16.01.obj,valve_0212_lidar_classes_reconstructed.ply,ok,0.17537957261142453,0.16997095152202846,0.6531420468829003,0.13002000473123604,44245,25454
16.01.obj,valve_0102_lidar_classes_reconstructed.ply,ok,0.17228703714626983,0.18044964246481016,0.5630335406199337,0.13307314880193288,31994,25454
16.01.obj,valve_0335_lidar_classes_reconstructed.ply,ok,0.162017297451786,0.16520572553461083,0.48648755887711337,0.12442902304118175,35276,25454
16.02.obj,valve_0362_lidar_classes_reconstructed.ply,ok,0.11852878690402203,0.2679593376008071,0.7059683261030139,0.16356248962734346,52616,6448
16.02.obj,valve_0074_lidar_classes_reconstructed.ply,ok,0.11284701564094735,0.24745219820679146,0.6480755103910036,0.15277508319375993,44293,6448
16.02.obj,valve_0375_lidar_classes_reconstructed.ply,ok,0.1124736886822904,0.2683232774189109,0.6392744440386628,0.16394325157507778,44637,6448
16.02.obj,valve_0156_lidar_classes_reconstructed.ply,ok,0.1214763604307895,0.2686492900500793,0.7022294146204359,0.16673520200484898,43217,6448
16.02.obj,valve_0105_lidar_classes_reconstructed.ply,ok,0.1142720013213531,0.27128740922137096,0.7129937519676222,0.16361547543788602,52278,6448
16.02.obj,valve_0395_lidar_classes_reconstructed.ply,ok,0.1162052304449522,0.263379239045105,0.6435203680335998,0.16267472266834979,45058,6448
16.02.obj,valve_0378_lidar_classes_reconstructed.ply,ok,0.11655628140980183,0.27920867254064485,0.7254106186104666,0.16887307568606744,42213,6448
16.02.obj,valve_0125_lidar_classes_reconstructed.ply,ok,0.09658036621353785,0.24622543391197807,0.6307868302312357,0.14588283135320923,31974,6448
16.02.obj,valve_0069_lidar_classes_reconstructed.ply,ok,0.10605293765978356,0.2565099121979447,0.6411433237071837,0.15511708233152116,40462,6448
16.02.obj,valve_0451_lidar_classes_reconstructed.ply,ok,0.11706546373532775,0.2610804840705225,0.6785254495706137,0.15933530407818514,53257,6448
16.02.obj,valve_0010_lidar_classes_reconstructed.ply,ok,0.11689944161819352,0.2677644357160933,0.6639815286371367,0.16466638982090595,40525,6448
16.02.obj,valve_0195_lidar_classes_reconstructed.ply,ok,0.11310434634016889,0.2723524805024057,0.7047978117972958,0.16290786820153774,53931,6448
16.02.obj,valve_0407_lidar_classes_reconstructed.ply,ok,0.09122277502059419,0.2492648886539913,0.6580261393394917,0.14660029319500123,35924,6448
